category,ordered(crossed out),name,total_price,unit_price,link,orders,per_order,dimensions,note
SHELL/RECOVERY,True,10-32 Nut,7.65,NA,https://www.mcmaster.com/93181A411/, 1  , 100  ,NA,     Attaches the air cylinder to the push cylinder  
SHELL/RECOVERY,True,1/4-20 Nut,8.95,NA,https://www.mcmaster.com/95462A029/, 1  , 100   ,NA,     Fastens Eyelets to the nose cone and push plate  
SHELL/RECOVERY,True,Quick Link 1/4in,17.10 ,$8.55 per item,https://www.homedepot.com/p/Everbilt-1-4-in-Stainless-Steel-Quick-Link-43394/205883053?source=shoppingads&locale=en-US&gStoreCode=6623&gQT=1,2  ,NA,NA,     Chains the tender descenders to the eyelets   
SHELL/RECOVERY,True,Quick links,31.92 ,$7.98 per item,https://www.homedepot.com/p/Everbilt-1-8-in-Stainless-Steel-Quick-Link-3-Pack-44384/205882906, 4   ,NA,NA,"     Chains the kevlar straps to the tender descender, parachutes, and parachute bag  "
SHELL/RECOVERY,True,12 gram CO2 Canister,10.99,NA,https://www.amazon.com/ICO-Cartridges-Non-Threaded-cartridges-Paintball/dp/B009IPX33Y?th=1, 1  , 10  ,NA,     The compressed CO2 in the canister will trigger the air cylinder/recovery system  
SHELL/RECOVERY,True,7/16”-20 Tap,15.93,NA,https://www.mcmaster.com/2521A664/, 1  ,NA,NA,     Used to tap the various holes in the assembly   
SHELL/RECOVERY,True,¼”-20 Tap,6.72,NA,https://www.mcmaster.com/2521A571/, 1  ,NA,NA,     Used to tap the eyebolt holes in the assembly   
SHELL/RECOVERY,True,Tap Handle 7/16”,32.32,NA,https://www.mcmaster.com/2546A25/, 1  ,NA,NA,     Used to hold the 7/16”-20 size tap bit  
SHELL/RECOVERY,True,Tap Handle 10-32,26.27,NA,https://www.mcmaster.com/2546A23/, 1  ,NA,NA,     Used to hold the 10-32 size tap bit  
SHELL/RECOVERY,True,Kevlar lanyard,44.99,NA,https://www.amazon.com/5col-Kevlar-Parachute-MIL-C-87129A-Strength/dp/B01MUWM24X/ref=sr_1_26?crid=FF14XU7F76LF&dib=eyJ2IjoiMSJ9.8vi-5YjSneTMYGV5lDckfF3kRMz_yHkbClVZVadDB3t5dyQrSkDQk736ZeY5KvRL9Jmxk11anm1uGmAbP4qRyLvo0ituT48axhv9kjI_YxI1LUWtTszKTAPzZeCM1BbUQNcfP5P6G_SkEj0EejUfhz-_OxaCmAtT_980GR6-HhFXqjMYkRyBRDvX21RblM2xEXIBlaZpQrLcX_FkHgx44FMy8T3r8kCzS5-XV16U6t2hdZoqySkRhzRPNPIknnKrbi5eBEsvBx0u2nQLZwyFWjTyYtXelQ1Eaz5p8wnvJ_KfxevE9vHKHEn0m9qPJG64RnzAJf_PJarZLKTnvN55YvJNdbGvIEwFBXgAcwP2PjN_23MzMdyQpsOC041Xnp7sSu_N8yPc_9ici7fedXzEzH8ox7IfPndTQg0dqnST6jh8esVQPYCoroRQlpFdM8Jq.0PYlwtSRCF1V1g9bqM3Vb6zSIIIAmxSnewdVMIViPtc&dib_tag=se&keywords=kevlar%2Brope%2B2mm&qid=1741761977&sprefix=kevlar%2Brope%2Caps%2C199&sr=8-26&th=1&psc=1, 1  ,NA,NA,     Lines for the parachute   
SHELL/RECOVERY,False,Nylon Fabric for Parachute 1,5.99,NA,https://fabricwholesaledirect.com/products/ottertex-70d-dwr-nylon-ripstop-fabric?variant=40923235811443, 1  ,NA,NA,"     Lilac color, 1 yard  ,      Used to create the drogue parachute  "
SHELL/RECOVERY,False,Nylon Fabric for Parachute 2,5.99,NA,https://fabricwholesaledirect.com/products/ottertex-70d-dwr-nylon-ripstop-fabric?variant=39460444110963, 1  ,NA,NA,"     Fuschia color, 1 yard   ,      Used to create the main parachute  "
SHELL/RECOVERY,False,Bike Chain,11.99,NA,https://www.acehardware.com/departments/outdoor-living/sporting-goods/bicycle-parts-and-accessories/8015885?store=00934&gStoreCode=934&gQT=1, 1  ,NA,NA,     Holds the housing of the tender descenders together   
SHELL/RECOVERY,True,¼” OD Vinyl Tubing,4.96,NA,https://www.homedepot.com/pep/UDP-0-170-in-I-D-x-1-4-in-O-D-x-20-ft-Clear-Vinyl-Tubing-T10007003/304185165?source=shoppingads&locale=en-US&pla&mtc=SHOPPING-BF-CDP-GGL-D26P-026_001_PIPE_FITTING-NA-NA-NA-PLALIA-NA-NA-NA-NA-NBR-NA-NA-NEW-_PLATEST&cm_mmc=SHOPPING-BF-CDP-GGL-D26P-026_001_PIPE_FITTING-NA-NA-NA-PLALIA-NA-NA-NA-NA-NBR-NA-NA-NEW-_PLATEST-22111492781-173962209835-331272780916&gad_source=4&gclid=Cj0KCQjw4cS-BhDGARIsABg4_J1g3K6h7ZVlVVQyP6N64Dof-KSRvixrOwYtQNgyxu_Dp13oFclfpjgaAt-cEALw_wcB&gclsrc=aw.ds, 1  ,NA,NA,     Connects the air cylinder to the CO2 canister  
SHELL/RECOVERY,False,Tubular Kevlar Strap,46.00,NA,https://wildmanrocketry.com/collections/kevlar/products/obh-011, 1  ,NA, ¼” ID x ⅜” OD x 10 ft length  ,     Part of the parachute system   
